"","DATAFLOW","LAST.UPDATE","freq","frequenc","deg_urb","sex","age","unit","geo","TIME_PERIOD","OBS_VALUE","OBS_FLAG","CONF_STATUS"
"2351","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","AT",2014,6.3,"",NA
"2352","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","AT",2019,5.4,"",NA
"2353","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","BE",2014,14.9,"u",NA
"2354","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","BE",2019,11.6,"",NA
"2355","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","BG",2014,8.4,"",NA
"2356","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","BG",2019,9.2,"",NA
"2357","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","CY",2014,4,"",NA
"2358","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","CY",2019,3,"",NA
"2359","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","CZ",2014,8.9,"",NA
"2360","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","CZ",2019,8.5,"",NA
"2361","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","DE",2014,9.4,"",NA
"2362","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","DE",2019,6.5,"",NA
"2363","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","DK",2014,10.1,"",NA
"2364","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","DK",2019,8.8,"",NA
"2365","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","EE",2014,1.5,"",NA
"2366","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","EE",2019,1.1,"",NA
"2367","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","EL",2014,5.1,"",NA
"2368","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","EL",2019,5,"",NA
"2369","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","ES",2014,14.3,"",NA
"2370","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","ES",2019,12,"",NA
"2371","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","EU27_2020",2014,9.4,"",NA
"2372","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","EU27_2020",2019,7.7,"",NA
"2373","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","EU28",2014,8.9,"e",NA
"2374","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","FI",2014,2.2,"",NA
"2375","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","FR",2019,7.7,"",NA
"2376","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","HR",2014,6.1,"",NA
"2377","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","HR",2019,8.5,"",NA
"2378","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","HU",2014,7,"",NA
"2379","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","HU",2019,6.8,"",NA
"2380","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","IE",2014,2.4,"",NA
"2381","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","IE",2019,3.1,"",NA
"2382","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","IS",2014,0.7,"",NA
"2383","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","IS",2019,1.1,"",NA
"2384","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","IT",2014,13.9,"d",NA
"2385","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","IT",2019,11.7,"",NA
"2386","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","LT",2014,0.5,"",NA
"2387","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","TOTAL","PC","LT",2019,0.8,"",NA
