"","DATAFLOW","LAST.UPDATE","freq","unit","icd10","age","sex","geo","TIME_PERIOD","OBS_VALUE","OBS_FLAG"
"1","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AL",2004,1.4,""
"2","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2000,1.2,""
"3","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2001,1.1,""
"4","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2002,1,""
"5","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2003,0.5,""
"6","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2004,0.8,""
"7","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2005,0.7,""
"8","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2006,0.8,""
"9","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2007,0.6,""
"10","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2008,0.6,""
"11","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2009,0.7,""
"12","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2010,0.6,""
"13","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2011,0.44,""
"14","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2012,0.48,""
"15","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2013,0.45,""
"16","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2014,0.39,""
"17","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2015,0.66,""
"18","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2016,0.56,""
"19","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","AT",2017,0.58,""
